时间,教室,温度,光照,人员数,空调,照明
23:11:04,A-101,24.8,253.0,0,待机,维持
23:11:06,A-101,24.7,337.0,0,待机,维持
23:11:08,A-101,26.5,432.0,0,制冷中,维持
23:11:10,A-101,25.7,484.0,0,待机,维持
23:11:12,A-101,26.6,323.0,0,制冷中,维持
23:11:14,A-101,25.6,250.0,0,待机,维持
23:11:17,A-101,21.1,321.0,0,制热中,维持
23:11:19,A-101,21.4,544.0,0,制热中,调暗
23:11:21,A-101,22.1,495.0,0,待机,维持
23:11:23,A-101,24.1,448.0,0,待机,维持
23:11:25,A-101,21.4,540.0,0,制热中,调暗
23:11:27,A-101,26.1,504.0,0,制冷中,调暗
23:11:30,A-101,25.0,409.0,0,待机,维持
23:11:32,A-101,24.6,343.0,0,待机,维持
23:11:34,A-101,24.0,500.0,0,待机,维持
23:11:36,A-101,24.6,274.0,0,待机,维持
23:11:38,A-101,23.1,488.0,0,待机,维持
23:11:40,A-101,23.6,429.0,0,待机,维持
23:11:42,A-101,24.6,420.0,0,待机,维持
23:11:45,A-101,24.4,296.0,0,待机,维持
23:11:47,A-101,26.3,399.0,0,制冷中,维持
23:11:49,A-101,23.8,378.0,0,待机,维持
23:11:51,A-101,25.2,494.0,0,待机,维持
23:11:53,A-101,22.9,522.0,0,待机,调暗
23:11:55,A-101,24.3,305.0,0,待机,维持
23:11:57,A-101,23.0,359.0,0,待机,维持
23:11:59,A-101,24.7,307.0,0,待机,维持
23:12:02,A-101,24.8,266.0,0,待机,维持
23:12:04,A-101,25.4,425.0,0,待机,维持
23:12:06,A-101,22.5,469.0,0,待机,维持
23:12:08,A-101,24.9,263.0,0,待机,维持
23:12:10,A-101,26.3,281.0,0,制冷中,维持
23:12:12,A-101,21.9,491.0,0,制热中,维持
23:12:14,A-101,22.7,264.0,0,待机,维持
23:12:17,A-101,24.2,512.0,0,待机,调暗
23:12:19,A-101,24.0,549.0,0,待机,调暗
23:12:21,A-101,24.0,351.0,0,待机,维持
23:12:23,A-101,23.2,405.0,0,待机,维持
23:12:25,A-101,24.7,297.0,0,待机,维持
23:12:27,A-101,26.5,507.0,0,制冷中,调暗
23:12:29,A-101,23.9,271.0,0,待机,维持
23:12:31,A-101,26.0,361.0,0,待机,维持
23:12:34,A-101,26.4,345.0,0,制冷中,维持
23:12:36,A-101,24.8,413.0,0,待机,维持
23:12:38,A-101,25.1,306.0,0,待机,维持
23:12:40,A-101,25.1,401.0,0,待机,维持
23:12:42,A-101,23.2,263.0,0,待机,维持
23:12:44,A-101,21.1,336.0,0,制热中,维持
23:12:46,A-101,21.4,528.0,0,制热中,调暗
23:12:49,A-101,21.8,365.0,0,制热中,维持
23:12:51,A-101,26.7,270.0,0,制冷中,维持
23:12:53,A-101,25.2,299.0,0,待机,维持
23:12:55,A-101,23.7,410.0,0,待机,维持
23:12:57,A-101,22.1,348.0,0,待机,维持
23:12:59,A-101,22.4,358.0,0,待机,维持
23:13:01,A-101,24.7,506.0,0,待机,调暗
23:13:04,A-101,25.8,458.0,0,待机,维持
23:13:06,A-101,26.1,477.0,0,制冷中,维持
23:13:08,A-101,26.4,345.0,0,制冷中,维持
23:13:10,A-101,23.6,384.0,0,待机,维持
23:13:12,A-101,21.7,362.0,0,制热中,维持
23:13:14,A-101,21.9,390.0,0,制热中,维持
23:13:16,A-101,21.7,544.0,0,制热中,调暗
23:13:18,A-101,22.5,541.0,0,待机,调暗
23:13:21,A-101,23.9,285.0,0,待机,维持
23:13:23,A-101,25.5,371.0,0,待机,维持
23:13:25,A-101,24.8,388.0,0,待机,维持
23:13:27,A-101,26.5,307.0,0,制冷中,维持
23:13:29,A-101,23.4,488.0,0,待机,维持
23:13:31,A-101,22.0,459.0,0,待机,维持
23:13:33,A-101,24.0,506.0,0,待机,调暗
23:13:35,A-101,25.5,373.0,0,待机,维持
23:13:38,A-101,23.7,432.0,0,待机,维持
23:13:40,A-101,22.2,502.0,0,待机,调暗
23:13:42,A-101,22.5,462.0,0,待机,维持
23:13:44,A-101,24.9,520.0,0,待机,调暗
23:13:46,A-101,24.9,408.0,0,待机,维持
23:13:48,A-101,23.8,464.0,0,待机,维持
23:13:50,A-101,24.1,458.0,0,待机,维持
23:13:52,A-101,23.1,377.0,0,待机,维持
23:13:55,A-101,24.8,318.0,0,待机,维持
23:13:57,A-101,23.1,521.0,0,待机,调暗
23:13:59,A-101,23.7,322.0,0,待机,维持
23:14:01,A-101,23.6,254.0,0,待机,维持
23:14:03,A-101,26.1,267.0,0,制冷中,维持
23:14:05,A-101,23.7,279.0,0,待机,维持
23:14:07,A-101,24.8,467.0,0,待机,维持
